Denominação,Outro nome,NIF,Doc ID,Capital Social,Número de Acções/Quotas,Valor Nominal,Natureza,Objecto,CAE,CAE Secundário 1,CAE Secundário 2,CAE Secundário 3,Facto,Data do facto (publicação),Valor do Facto,Modalidade e forma de subscrição:,,Categorias,Ordinárias,Categoria A,Categoria B,Categoria C,Classe A1,Classe B1,Preferenciais,Classe D,Classe E,Classe F,Classe G,Classe H,Classe I,Classe J,Classe K,Classe L,Acções preferenciais sem voto,Classe Promotor,Emissão de Valores Mobiliarios (Montante),Valores Mobiliários Valor nominal/Preço de Exercício,Activo Subjacente,N.º de Valores a emitir
"EQUIGERMINAL, S.A.",,509756638,8,65000,65000,1,"tituladas ou nominativas, representadas por titulos de uma, dez, cinquenta, cem, quinhentas, mil ou multiplos de mil acções",,,,,,Aumento,22/08/2014,15000,integralmente realizado em numerário,em dinheiro,Y,5000,60000,,,,,,,,,,,,,,,,,,,,
"EQUIGERMINAL, S.A.",,509756638,9,70000,70000,1,"tituladas ou nominativas, representadas por titulos de uma, dez, cinquenta, cem, quinhentas, mil ou multiplos de mil acções",,,,,,Aumento,20/11/2015,5000,Por conversão de suprimentos em capital,,Y,5000,65000,,,,,,,,,,,,,,,,,,,,
"FLUIDINOVA, S.A.",,507439384,1,,,,,"Prestação de serviços de consultadoria, formação, projecto e desenvolvimento de novos processos e tecnologias industriais nas áreas da engenharia do ambiente, águas, quimica, farmacêutica e energias alternativas.Comércio, importação, exportação, distribuição e representação de maquinas e equipamentos, nomeadamente, laboratoriais robotizados, maquinas de injecção de plásticos reactivos, misturadores em rede para novos processos para fabrico de novas emulsões, microcápsulas e nanomateriais; fabrico e comercialização de produtos quimicos, biomateriais, compósitos, emulsões, microcapsulas e nanomateriais e de outros produtos baseados nos materiais desenvolvidos; exploração comercial de marcas e modelos de utilidade, design, patentes industriais e contratos de franquia, organização de eventos relacionados com a sua actividade industrial e comercial, prestação de serviços de assistência técnica aos equipamentos da sua representação; análise e projectos de viabilidade industrial, aluguer de maquinas e equipamentos.",72110 - Investigação e desenvolvimento em biotecnologia.,,,,Alteração,24/01/2007,0,,,,,,,,,,,,,,,,,,,,,,,,,
"FLUIDINOVA, S.A.",,507439384,3,130000,1300000,1,,,,,,,Aumento,20/06/2008,121500,Em dinheiro mediante a emissão de 1215000 novas acções,em dinheiro,N,1300000,,,,,,,,,,,,,,,,,,,,,
"FLUIDINOVA, S.A.",,507439384,6,130000,1300000,sem valor nominal,,,,,,,Alteração,02/08/2010,0,,,N,1300000,,,,,,,,,,,,,,,,,,,,,
"FLUIDINOVA, S.A.",,507439384,10,500000,5000000,0,"nominativas ou ao portador, tituladas ou escriturais, sem valor nominal",,,,,,Aumento,06/11/2012,370000,"novas entradas em dinheiro e conversão de créditos (suprimentos), mediante emissão de 3.700.000 novas acções, sem valor nominal, com o valor de emissão de euro 0,1 cada, oferecidas à subscrição dos accionistas.","em dinheiro, conversão suprimentos",Y,,15000,15000,,,,,,,,,,,,,,,,,,,
"GETSOCIAL, S.A.",,510781322,2,54117.64,5411764,0.01,nominativas,"Desenvolvimento, comercialização e exploração de soluções inovadoras de software e prestação de serviços de consultoria informática na área do comércio eletrónico.",62010 - Actividades de programação informática,63120 - Portais web.,,,Constituição,24/09/2013,54117.64,,,Y,4000000,1411764,,,,,,,,,,,,,,,,,,,,
"GETSOCIAL, S.A.",,510781322,3,61882.34,6188234,0.01,,,,,,,Aumento,04/05/2015,7764.7,realizado em dinheiro e subscrito por dois accionistas,em dinheiro,Y,4000000,2188234,,,,,,,,,,,,,,,,,,,,
"GETSOCIAL, S.A.",,510781322,4,69647.06,6964706,0.01,,,,,,,Aumento,14/08/2015,7764.72,realizado em dinheiro e subscrito por dois accionistas,,Y,4000000,2964706,,,,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,510575994,1,300,3,100; 100; 100,quotas,"Laboratório para execução de testes genéticos, citogenéticos e de biologia molecular. Desenvolvimento de testes genéticos para determinação de doenças genéticas ou com uma componente genética associada. Investigação de testes de suscetibilidade genética de doenças; desenvolvimento de métodos, equipamentos e software para deteção de patologias com uma componente genética associada. Desenvolvimento de sistemas de apoio ao prognóstico clínico. Transferência de conhecimentos de Biologia e da Genética Molecular para aplicações médicas no diagnóstico e prognóstico de doenças e monitorização da resposta ao tratamento. Projetos de investigação clínica e biológicos de paternidade e estudos de parentesco. Projetos de investigação em informática aplicada à biologia e à clínica. Importação, armazenamento, distribuição e comercialização de reagentes e consumíveis para laboratórios de análises clínicas e laboratórios de realização de testes genéticos, citogenéticos e biologia molecular. Investimento nas áreas atrás descritas ou similares.",58290 - Edição de outros programas informáticos; ,72190 - Outra investigação e desenvolvimento das ciências físicas e naturais.,,,Constituição,18/02/2013,0,,,N - Quotas,300,,,,,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,510575994,2,51894.74,5189474,0.01,nominativas,,,,,,Aumento,27/03/2013,51594.74,"em espécie por todas as sócias com 15.122,42 cada uma e pelas novas, sócias ""Duonar ­ Imobiliária, Engenharia e Construção, Lda"" com 5.337,48 e ""INESC­ID ­Instiituto de Engenharia de Sistemas e Computadores: Investigação e Desenvolvimento em Lisboa"", com 890,00.",em especie,N,5189474,,,,,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,510575994,3,85000,8500000,0.01,nominativas,,,,,,Aumento,16/04/2013,33105.26,realizado em dinheiro e subscrito por um accionista e por três novos accionistas,em dinheiro,N,8500000,,,,,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,510575994,4,81016.55,8101655,0.01,nominativas,,,,,,Redução,17/07/2014,3983.45,,,N,8101655,,,,,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",,510575994,4,96598.68,9659868,0.01,,,,,,,Aumento,30/07/2014,15582.13,numerário,em dinheiro,N,9659868,,,,,,,,,,,,,,,,,,,,,
"ICLIO, S.A.",,508991390,1,5000,6,1250; 625;  1250; 625; 625; 625,quotas,"Disponibilização através de meios digitais de informação relevante sobre a história e o património nacional e mundial; desenvolvimentos de portais web, aplicação para dispositivos móveis, bases de dados e outros repositórios de informação digital; comercialização e aluguer de equipamentos relacionados com a actividade; formação profissional","63110 - Actividades de processamento de dados, domiciliação de informação e actividades relacionadas.",,,,Constituição,19/05/2009,5000,,,N - Quotas,5000,,,,,,,,,,,,,,,,,,,,,
"ICLIO, S.A.",,508991390,5,52002,5000200,0.01,nominativas,,,,,,Aumento,14/02/2014,45002,"Realizado quanto a 30002,00 Euros em prestações suplementares e quanto a 15.000,00 Euros em dinheiro pela entrada da nova sócia, Fundo de Capital de Risco FCR Turismo Inovação, gerida por ""Portugal Capital Ventures ­ Sociedade de Capital de Risco, S.A."" ­ NIPC ­502 206 128 com sede na Avenida Dr. Antunes Guimarães, no 103, Porto.","em dinheiro, prestações suplementares",Y,3500200,1500000,,,,,,,,,,,,,,,,,,,,
"ICLIO, S.A.",,508991390,7,58335.33,5833533,0.01,"nominativas, tituladas ou escriturais.",,,,,,Aumento,14/10/2014,8333.33,"Em dinheiro por uma acionista e por uma nova acionista, mediante a emissão de 833.333 novas ações da categoria A, com o valor nominal de 0,01 cada.",em dinheiro,Y,3500200,2333333,,,,,,,,,,,,,,,,,,,,
"IM3DICAL, S.A.",,509845061,1,50000,10000,5,nominativas podendo revestir a forma escritural,Desenvolvimento e comercialização de software para a área da saúde e prestação de serviços conexos com a actividade principal.,72190 - Outra investigação e desenvolvimento das ciências físicas e naturais,,,,Constituição,19/05/2009,5000,,,N - Quotas,5000,,,,,,,,,,,,,,,,,,,,,
"IM3DICAL, S.A.",,509845061,5,73000,14600,5,"nominativas, tituladas ou escriturais",,,,,,Aumento,14/02/2014,23000,"incorporação de prestações suplementares (com ágio), por acionistas, mediante a emissão de novas ações, do valor nominal de 5,00 cada uma, sendo 3.550 da categoria A e 1.050 ordinárias.",prestações suplementares,Y,6150,8450,,,,,,,,,,,,,,,,,,,,
"IM3DICAL, S.A.",,509845061,7,104446.15,10444615,0.01,"nominativas, tituladas ou escriturais.",,,,,,Aumento,14/10/2014,10482.05,,,Y,3075000,4225000,3144615,,,,,,,,,,,,,,,,,,,
"IM3DICAL, S.A.",,509845061,8,112307.69,11230769,0.01,,,,,,,Aumento,11/09/2015,7861.54,"em dinheiro, com a emissão de 786.154 novas ações",,N,,,,,,,,,,,,,,,,,,,,,,
"IMMUNETHEP, S.A.",,510824439,1,1000,2,600; 400,quotas,"Compreende a investigação e desenvolvimento (I&D) experimental em biotecnologia, nomeadamente, sobre: ­ ADN/ARN (genómicos, farmacogenómicos, sondas de genes, engenharia genética, sequências/sínteses/amplificações do ADN/ARN, perfil da expressão do gene e utilização da tecnologia antimensageiro).",72110 - Investigação e desenvolvimento em biotecnologia,21100 - Fabricação de produtos farmacêuticos de base,21202 - Fabricação de outras preparações e de artigos farmacêuticos ,21201 - Fabricação de medicamentos,Constituição,16/10/2013,1000,,,N - Quotas,1000,,,,,,,,,,,,,,,,,,,,,
"IMMUNETHEP, S.A.",,510824439,2,51193.12,5119312,0.01,"nominativas, tituladas ou escriturais.",,,,,,Aumento,17/04/2015,50193.12,"suprimentos ­ 1.000,00 Euros, espécie ­ 41.237,00 Euros, subscrito por ambos os sócios Pedro Jorge Fonseca Madureira ­ 600,00 Euros e 24.742,40 Euros e Venture Catalysts, Lda ­ 400,00 Euros e 16.494,60 Euros, respetivamente, e dinheiro ­ 7.956,12 Euros, com a admissão para sócios de FCR PORTUGAL VENTURES BIOCANT ­ 7.954,12 Euros, gerido por CAPITAL VENTURES ­ SOCIEDADE DE CAPITAL DE RISCO, S.A., Hugo Miranda de Sousa Andrade Ramos ­ 1,00 Euros e Rafael Rocha Simão ­ 1,00 Euro.",conversão suprimentos,Y,,795412,,,,,,,,,,,,,,,,,,,,
