Denominação,NIF,Acto/Facto,Data,Doc 
"MOODOPTIC, S.A.",507798325,Alterações ao contrato de sociedade,2016-01-21,13
"PASSWORKS, S.A.",513002111,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),07/03/2014,1
"PASSWORKS, S.A.",513002111,Aumento do capital,19/03/2015,2
"PEPFEED, S,A",510820484,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",14/10/2013,1
"PEPFEED, S,A",510820484,Modificação de sociedade unipessoal por quotas em sociedade por quotas plural (online),18/12/2014,2
"PEPFEED, S,A",510820484,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",10/03/2015,3
"PEPFEED, S,A",510820484,Rectificado,19/03/2015,4
"PEPFEED, S,A",510820484,Aumento do capital(online),2016-05-19,5
"SHIFTFORWARD, S.A.",509890180,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",25/05/2011,1
"SHIFTFORWARD, S.A.",509890180,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"SHIFTFORWARD, S.A.",509890180,Rectificado,15/06/2011,3
"SHIFTFORWARD, S.A.",509890180,Atualizado,24/01/2014,4
"SHIFTFORWARD, S.A.",509890180,Alterações ao contrato de sociedade(online) e actualização,28/07/2014,5
"SHIFTFORWARD, S.A.",509890180,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",18/09/2014,6
"SHIFTFORWARD, S.A.",509890180,Aumento do capital(online),19/03/2015,7
"SHIFTFORWARD, S.A.",509890180,Alterações ao contrato de sociedade(online),2016-01-13,8
STREAMBOLICO S.A.,510177026,Constituição de sociedade e designação de membro(s) de órgão(s) social(ais),19/03/2012,1
STREAMBOLICO S.A.,510177026,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",26/09/2013,2
STREAMBOLICO S.A.,510177026,Mudança da sede,28/02/2014,3
STREAMBOLICO S.A.,510177026,Aumento do capital,13/05/2014,4
STREAMBOLICO S.A.,510177026,Aumento do capital,15/05/2015,5
STREAMBOLICO S.A.,510177026,Alterações ao contrato de sociedade,2015-12-10,6
STREAMBOLICO S.A.,510177026,COMPLETADO,2016-04-07,7
STREAMBOLICO S.A.,510177026,Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),2016-06-07,8
STREAMBOLICO S.A.,510177026,Atualizado,2016-08-05,9
STREAMBOLICO S.A.,510177026,Actualizado,2016-09-09,10
"TOP RESEARCH, S.A.",509841686,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",20/01/2012,1
"TOP RESEARCH, S.A.",509841686,Aumento do capital(online) e Alteração do contrato de sociedade para sociedade por quotas(online),29/01/2014,2
"TOP RESEARCH, S.A.",509841686,Rectificado,30/01/2014,3
"TOP RESEARCH, S.A.",509841686,Mudança da sede,01/09/2014,4
"TOP RESEARCH, S.A.",509841686,Alterações ao contrato de sociedade(online),26/12/2014,5
"TOP RESEARCH, S.A.",509841686,"Aumento do capital, Mudança da sede, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",02/02/2015,6
"TOP RESEARCH, S.A.",509841686,Alterações ao contrato de sociedade,2016-07-18,7
"TOP RESEARCH, S.A.",509841686,Aumento do capital,2016-07-25,8
"TUIZZI, S.A.",509820638,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",12/04/2011,1
"TUIZZI, S.A.",509820638,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",12/06/2013,2
"TUIZZI, S.A.",509820638,Aumento do capital,14/02/2014,3
"TUIZZI, S.A.",509820638,Aumento do capital,20/06/2014,4
"TUIZZI, S.A.",509820638,Aumento do capital,27/02/2015,5
"TUIZZI, S.A.",509820638,Mudança da sede,27/02/2015,6
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",09/08/2012,1
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,Alterações ao contrato de sociedade(online),22/07/2013,2
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",07/07/2014,3
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,Aumento do capital(online),06/04/2015,4
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,Dissolução com nomeação de liquidatário,2015-08-31,5
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,Encerramento da liquidação,2016-04-15,6
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",30/07/2009,1
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Alterações ao contrato de sociedade,12/11/2010,3
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Alterações ao contrato de sociedade,,4
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Alterações ao contrato de sociedade e Designação de membro(s) de orgão(s) social(ais),20/01/2011,5
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Convertido,31/01/2013,6
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Convertida e retificada,09/05/2014,7
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Aumento do capital e Designação de membro(s) de orgão(s) social(ais),26/05/2014,8
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Mudança de sede com alterações ao contrato de sociedade,24/10/2014,9
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Aumento do capital(online),17/12/2014,10
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Alterações ao contrato de sociedade e aumento de capital (online),11/06/2015,11
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,Alterações ao contrato de sociedade,2016-01-27,12
"XHOCKWARE, S.A.",510942571,Constituição de sociedade e Designação de membro(s) de orgão(s) social(ais),21/02/2014,1
"XHOCKWARE, S.A.",510942571,Aumento do capital e Alterações ao contrato de sociedade,01/12/2014,2
"XHOCKWARE, S.A.",510942571,Actualizado,2016-07-22,3
"YOUNGSTORIES, S.A.",509984568,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",21/09/2011,1
"YOUNGSTORIES, S.A.",509984568,Alterações ao contrato de sociedade,11/04/2012,2
"YOUNGSTORIES, S.A.",509984568,Mudança da sede,11/12/2012,3
"YOUNGSTORIES, S.A.",509984568,"Aumento do capital(online), Alterações ao contrato de sociedade(online) e Designação de membro(s) de orgão(s) social(ais) (online)",28/01/2013,4
"YOUNGSTORIES, S.A.",509984568,Alterações ao contrato de sociedade(online),13/05/2013,5
"YOUNGSTORIES, S.A.",509984568,"Aumento do capital, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",12/06/2013,6
"YOUNGSTORIES, S.A.",509984568,Actualizado,10/01/2014,7
"YOUNGSTORIES, S.A.",509984568,Aumento do capital(online),20/10/2014,8
"YOUNGSTORIES, S.A.",509984568,Aumento do capital(online),19/01/2015,9
"YOUNGSTORIES, S.A.",509984568,Aumento do capital(online) e Alterações ao contrato de sociedade(online),13/07/2015,10
"YOUNGSTORIES, S.A.",509984568,Alterações ao contrato de sociedade(online),13/07/2015,11
"ZARPH, S.A.",508949270,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",17/04/2009,1
"ZARPH, S.A.",508949270,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"ZARPH, S.A.",508949270,Alterações ao contrato de sociedade(online),09/06/2009,3
"ZARPH, S.A.",508949270,Alterações ao contrato de sociedade(online),,4
"ZARPH, S.A.",508949270,Alterações ao contrato de sociedade(online),09/07/2010,5
"ZARPH, S.A.",508949270,Redução do capital(online),30/01/2012,6
"ZARPH, S.A.",508949270,Alterações ao contrato de sociedade(online),15/03/2013,7
"ZARPH, S.A.",508949270,"Aumento do capital, Mudança da sede, Transformação em sociedade anónima e Designação de membro(s) de orgão(s) social(ais)",20/08/2013,8
"ZARPH, S.A.",508949270,Rectificado,27/08/2013,9
"ZARPH, S.A.",508949270,Aumento do capital(online),21/11/2014,10
"ZARPH, S.A.",508949270,Alterações ao contrato de sociedade e aumento de capital (online),14/04/2015,11
"APTOIDE, S.A.",509987184,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",09/09/2011,1
"APTOIDE, S.A.",509987184,"Constituição de sociedade, designação de membro(s) de órgão(s) social(ais)",,2
"APTOIDE, S.A.",509987184,Convertido,14/10/2013,3
